Player Name,Team,League,POS,GP,MIN,Y,YR,R,A,SA,CR,ACR,CC,FS,P,AP,ACRO,BCC,DR,APW,TBOX,ECL
Federico Mattiello,BGN,SERI,M/D,17,1335,2,0,1,1,0,69,17,19,12,331,432,17,3,9,0,13,38
Toma Basic,BDX,FRAN,M,22,1324,3,0,0,0,0,46,11,20,22,463,561,1,2,17,0,11,22
Javi Martinez,BAY,BUND,M/D,21,1311,3,0,0,0,0,4,0,7,13,794,904,0,0,5,0,24,12
Juan Mata,MUN,EPL,M,22,1293,3,0,0,2,1,67,13,30,9,602,700,4,5,10,2,50,5
Tristan Dingome,REI,FRAN,M,19,1286,4,0,0,3,1,11,1,26,12,435,552,1,4,9,0,13,4
Matheus Pereira,FCN,BUND,F/M,19,1236,3,0,1,2,0,25,4,14,48,329,443,2,2,40,0,21,7
Filip Djuricic,SAS,SERI,M,22,1228,2,0,1,1,0,16,7,23,37,436,521,2,1,17,1,35,4
Lucas Deaux,GUI,FRAN,M,17,1105,4,0,0,1,0,22,3,10,11,303,440,3,2,5,0,22,7
Quincy Promes,SEV,LIGA,M,33,1569,2,0,0,3,1,61,13,29,13,597,757,12,7,28,1,68,19
Lucas Vazquez,RMD,LIGA,M,31,1501,4,1,1,3,0,63,14,30,38,736,875,12,8,33,0,91,6
Christian Atsu,NEW,EPL,M,28,1488,2,0,0,0,0,42,8,18,25,315,383,8,3,25,0,42,14
Alex Berenguer,TOR,SERI,M,31,1479,4,0,0,3,1,90,21,36,33,458,596,10,6,33,1,52,9
Herve Lybohy,NIM,FRAN,D,17,1478,3,0,0,0,0,2,1,0,10,474,569,1,0,1,0,7,69
Cheick Timite,AMN,FRAN,M,26,1434,2,0,0,1,0,26,5,15,24,253,330,5,2,20,0,48,11
Rodrigo Tarin,LGN,LIGA,D,18,1429,3,0,0,0,0,8,2,1,7,360,468,2,0,1,0,6,73
Jacopo Sala,SMP,SERI,M/D,20,1427,5,0,0,1,1,51,7,19,15,798,939,6,3,8,0,12,34
Yannick Cahuzac,TOU,FRAN,M,23,1427,8,0,1,0,0,1,0,6,19,446,545,0,0,0,0,7,52
Max Meyer,CRY,EPL,M,29,1410,3,0,0,2,0,24,4,22,18,556,663,3,0,13,1,61,18
Sebastian Langkamp,BRE,BUND,D,21,1410,4,0,0,0,0,0,0,5,15,855,966,0,1,2,0,17,78
Martin Terrier,LYO,FRAN,F/M,31,1407,2,0,0,0,1,16,3,28,10,412,488,2,3,12,0,60,10
Marco D'Alessandro,UDN,SERI,F/M,23,1406,3,0,0,1,0,52,8,19,28,346,466,8,1,29,0,34,28
