Name,Nationality,Team,Tackles,Interceptions,Clearances,Errors lead to shot,Dribbled past,Blocked shots,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Key passes,Yellow cards,Red cards,Minutes played,Fouls,Was fouled
Adrian Mariappa,Jamaica,Watford,35.0,25.0,119.0,1.0,16.0,15.0,40.0,51.0,59.0,51.0,99.0,51.0,725.0,157.0,882.0,82.0,542.0,184.0,5.0,3.0,0.0,1924.0,4.0,19.0
Kevin Long,Republic of Ireland,Burnley,18.0,7.0,34.0,1.0,10.0,5.0,24.0,63.0,20.0,54.0,44.0,59.0,136.0,32.0,168.0,81.0,96.0,40.0,1.0,0.0,0.0,513.0,5.0,3.0
Miguel Britos,Uruguay,Watford,4.0,3.0,10.0,0.0,2.0,1.0,6.0,50.0,5.0,63.0,11.0,55.0,47.0,12.0,59.0,80.0,32.0,15.0,0.0,0.0,0.0,185.0,1.0,3.0
Ryan Bennett,England,Wolves,58.0,43.0,124.0,0.0,16.0,21.0,68.0,56.0,123.0,57.0,191.0,56.0,1071.0,275.0,1346.0,80.0,704.0,367.0,9.0,12.0,0.0,3060.0,11.0,37.0
Chris Mepham,Wales,Bournemouth,9.0,14.0,57.0,1.0,4.0,5.0,16.0,59.0,31.0,62.0,47.0,61.0,323.0,82.0,405.0,80.0,256.0,67.0,2.0,1.0,0.0,850.0,4.0,7.0
Tim Ream,United States,Fulham,23.0,24.0,77.0,1.0,14.0,10.0,37.0,54.0,47.0,52.0,84.0,53.0,925.0,128.0,1053.0,88.0,643.0,282.0,3.0,1.0,0.0,2049.0,8.0,12.0
Dan Burn,England,Brighton,,,,,,,,,,,,,,,,,,,,,,,,
Philippe Sandler,Netherlands,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
Denis Odoi,Belgium,Fulham,48.0,42.0,144.0,0.0,12.0,24.0,95.0,60.0,55.0,51.0,150.0,56.0,1094.0,238.0,1332.0,82.0,706.0,392.0,11.0,4.0,0.0,2604.0,31.0,37.0
Konstantinos Mavropanos,Greece,Arsenal,1.0,7.0,5.0,0.0,0.0,1.0,3.0,60.0,2.0,40.0,5.0,50.0,127.0,10.0,137.0,93.0,83.0,44.0,1.0,1.0,0.0,149.0,0.0,2.0
