Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Felix Eboa Eboa,GUI,FRAN,D,26,2337,26,0,1,5,0,0,38,24,30,2,107,8,156
Cheikh N'Doye,ANG,FRAN,M,27,2335,26,1,3,4,0,0,24,8,15,4,140,5,229
Jason,LEV,LIGA,M,30,2331,26,4,7,10,0,0,46,4,25,11,139,29,157
Daniele Baselli,TOR,SERI,M,33,2298,26,7,17,5,0,0,31,6,45,7,172,22,142
Tobias Strobl,BM,BUND,D,29,2295,26,3,5,4,0,0,29,14,17,0,117,4,97
Ryan Sessegnon,FUL,EPL,M,35,2294,26,9,7,0,0,0,19,2,14,3,138,32,94
Ludovic Blas,GUI,FRAN,M,33,2290,26,7,12,5,0,0,25,7,37,3,156,51,188
Franco Vazquez,SEV,LIGA,F/M,34,2287,26,8,12,8,0,1,23,2,37,8,153,44,227
Kieran Trippier,TOT,EPL,M/D,27,2278,26,1,3,2,0,0,23,5,37,35,166,7,127
Xeka,LIL,FRAN,M,27,2264,26,1,6,10,0,0,21,2,31,1,128,8,133
Cristian Romero,GEN,SERI,D,26,2249,26,0,1,10,1,2,39,27,35,0,146,14,151
Toni Kroos,RMD,LIGA,M,28,2227,26,2,8,2,0,0,14,4,35,3,168,14,140
Marco Capuano,FRO,SERI,D,26,2222,26,0,5,5,1,1,32,30,32,1,129,1,120
Aleksandr Golovin,MON,FRAN,M,29,2210,26,3,12,6,0,1,20,3,17,9,136,27,106
Daniel Brosinski,MAI,BUND,D,26,2205,26,0,3,2,0,0,27,9,16,24,117,6,68
Okay,CEL,LIGA,M,30,2203,26,4,11,10,0,0,37,11,39,1,191,28,199
Neven Subotic,ETI,FRAN,D,26,2152,26,0,3,2,0,1,39,6,23,0,114,3,93
Willian,CHE,EPL,M,32,2108,26,6,17,2,0,0,14,1,21,9,105,38,114
Alex Pritchard,HUD,EPL,M,30,2089,26,4,15,2,0,0,17,2,24,7,127,29,130
Gerard Deulofeu,WAT,EPL,M,30,2079,26,4,20,3,0,0,14,0,6,3,71,47,74
Sven Bender,LEV,BUND,M,28,2052,26,2,7,3,0,0,53,16,27,0,158,5,134
Luiz Gustavo,MAR,FRAN,M,29,2342,25,4,1,8,0,0,32,11,42,3,153,14,136
Obite Evan N'Dicka,EF,BUND,D,28,2339,25,3,2,3,0,0,29,11,27,1,168,6,128
Aaron Mooy,HUD,EPL,M,29,2327,25,4,1,4,0,0,13,7,42,8,203,22,110
Manu Garcia,ALA,LIGA,M,34,2325,25,9,4,6,0,0,23,7,48,2,190,13,251
Pierre Lees-Melou,NIC,FRAN,M,29,2303,25,4,2,5,0,1,33,8,45,4,138,14,133
Hiroki Sakai,MAR,FRAN,D,26,2283,25,1,0,3,0,0,37,9,40,7,111,12,174
Maxime Le Marchand,FUL,EPL,D,26,2252,25,1,2,5,0,0,54,16,36,4,164,10,129
Stefan Bell,MAI,BUND,D,25,2250,25,0,0,7,0,0,54,11,20,2,156,14,152
Francesco Vicari,SPL,SERI,D,27,2249,25,2,5,6,0,0,34,24,24,0,118,0,83
