Player Name,Team,League,POS,GP,MIN,BR
Ivo Ilicevic,FCN,BUND,F/M,3,36,2
Valentin Vada,BDX,FRAN,M,2,34,2
Angel Almeida Gomes,MUN,EPL,F/M,2,25,2
Georges-Kevin Nkoudou,MON,FRAN,M,3,21,2
Kang-In Lee,VAL,LIGA,M,3,21,2
Albert-Nicolas Lottin,BDX,FRAN,M,2,20,2
Luca Matarese,FRO,SERI,M,2,14,2
Yann Bodiger,TOU,FRAN,M,1,12,2
Jason Puncheon,CRY,EPL,M,5,11,2
Alexander Szymanowski,LGN,LIGA,M,1,9,2
Hacen,REV,LIGA,M,1,2,2
Matheus Pereira da Silva,JUV,SERI,M,3,91,1
Antonio Moya,ATL,LIGA,M,1,90,1
Kevin Strootman,ROM,SERI,M,1,90,1
Joe Willock,ARS,EPL,M,2,64,1
Ibrahim Karamoko,CHV,SERI,M,2,63,1
Hakim El Mokkedem,TOU,FRAN,M,2,23,1
Ante Coric,ROM,SERI,M,2,22,1
Loic Damour,CC,EPL,M,2,21,1
Johan Mojica,GIR,LIGA,M/D,1,19,1
Alex Oxlade-Chamberlain,LIV,EPL,M,2,19,1
Mahdi Camara,ETI,FRAN,M,1,9,1
Luan Capanni,LAZ,SERI,F/M,1,8,1
Paul Wade,NIC,FRAN,M,1,7,1
Martin Zubimendi,RSO,LIGA,M,1,6,1
Tofol Montiel,FIO,SERI,F/M,1,5,1
Yann Karamoh,INT,SERI,M,1,4,1
Georges-Kevin Nkoudou,TOT,EPL,M,1,4,1
Woo-yeong Jeong,MUN,BUND,F/M,1,4,1
Meritan Shabani,MUN,BUND,M,1,1,1
James Garner,MUN,EPL,M,1,1,1
Adem Ljajic,TOR,SERI,M,1,29,0
Roberto Lopez Alcaide,RSO,LIGA,M,1,28,0
Juan Manuel Valencia,BGN,SERI,M,1,27,0
Victor Moses,CHE,EPL,M/D,2,26,0
James McCarthy,EVE,EPL,M,1,14,0
Pedro Brazao,NIC,FRAN,M,1,13,0
Jakub Blaszczykowski,WOL,BUND,M,1,12,0
Giovani Lo Celso,PSG,FRAN,M,1,10,0
Alessandro Murgia,LAZ,SERI,M,1,8,0
Louis Carnot,GUI,FRAN,M,1,7,0
Gianluca Gaetano,NAP,SERI,M,2,7,0
Armand Lauriente,REN,FRAN,M,1,3,0
Gianni Munari,PAR,SERI,M,1,2,0
Nicolas Janvier,REN,FRAN,M,1,2,0
Petar Micin,UDN,SERI,F/M,1,2,0
Luke Amos,TOT,EPL,M,1,2,0
Moataz Zemzemi,STR,FRAN,M,2,2,0
Patrick Kammerbauer,FBG,BUND,M/D,1,1,0
Lenny Pintor,LYO,FRAN,M,1,1,0
Luke Dreher,CRY,EPL,M,1,1,0
Arton Zekaj,LIL,FRAN,M,1,1,0
Kenny Rocha Santos,ETI,FRAN,M,1,1,0
Abdou Diakhate,PAR,SERI,M,1,1,0
"Andr&agrave;s Schafer",GEN,SERI,F/M,0,0,0
Christian Gabriel Oliva,CAG,SERI,M,0,0,0
Nicolo Fagioli,JUV,SERI,M,0,0,0
Maxence Caqueret,LYO,FRAN,M,0,0,0
Kylian Kaiboue,MTP,FRAN,M,0,0,0
Khephren Thuram-Ulien,MON,FRAN,M,0,0,0
Kevin Mouanga,ANG,FRAN,M/D,0,0,0
Conor Coventry,WHU,EPL,M,0,0,0
Amir Adouyev,MTP,FRAN,M,0,0,0
Alessandro Marongiu,CAG,SERI,M,0,0,0
Salvatore Pezzella,ROM,SERI,M,0,0,0
Andrea Rizzo Pinna,SPL,SERI,M,0,0,0
Luca Belardinelli,EMP,SERI,M,0,0,0
Samuele Ricci,EMP,SERI,M,0,0,0
Redi Kasa,PAR,SERI,M,0,0,0
George Marsh,TOT,EPL,M,0,0,0
Gustavo Assuncao,ATL,LIGA,M,0,0,0
Azzeddine Toufiqui,PSG,FRAN,M,0,0,0
Marco Spina,SPL,SERI,M,0,0,0
Cristian Rodriguez Perez,ATL,LIGA,M,0,0,0
Nicolo Rovella,GEN,SERI,M,0,0,0
Andrea Errico,FRO,SERI,M,0,0,0
Mikel Carro Fandino,ATL,LIGA,M,0,0,0
Isaac Matondo,REN,FRAN,M,0,0,0
Riccardo Landinetti,CAG,SERI,M,0,0,0
Nicolas Wahling,HOF,BUND,M,0,0,0
Cheikh Niasse,LIL,FRAN,M,0,0,0
Eric Junior Dina Ebimbe,PSG,FRAN,M,0,0,0
Bilal Benkhedim,ETI,FRAN,M,0,0,0
Nnamdi Ofoborh,BOU,EPL,M,0,0,0
Hicham Mahou,NIC,FRAN,M,0,0,0
Sullay Kaikai,CRY,EPL,M,0,0,0
Abukar Mohamed,LAZ,SERI,M,0,0,0
Darko Brasanac,BET,LIGA,M,0,0,0
Borja Lasso,SEV,LIGA,F/M,0,0,0
Faitout Maouassa,REN,FRAN,M/D,0,0,0
Federico Viviani,SPL,SERI,M,0,0,0
Pepelu,LEV,LIGA,M,0,0,0
Simone Pontisso,UDN,SERI,M,0,0,0
Matt Butcher,BOU,EPL,M,0,0,0
Yhoan Andzouana,GIR,LIGA,M,0,0,0
Adalberto Penaranda,WAT,EPL,F/M,0,0,0
Erik Majetschak,RBL,BUND,M,0,0,0
Nais Djouahra,RSO,LIGA,M,0,0,0
Florian Chabrolle,MAR,FRAN,M,0,0,0
Anthony Gomez Mancini,ANG,FRAN,M,0,0,0
Paul Will,MUN,BUND,M,0,0,0
Drissa Camara,PAR,SERI,M,0,0,0
Emile Smith-Rowe,ARS,EPL,F/M,0,0,0
Ousseynou Ndiaye,LYO,FRAN,M,0,0,0
Jaime Seoane,RMD,LIGA,M,0,0,0
Niclas Stierlin,RBL,BUND,M/D,0,0,0
Ricardo Farcas,SPL,SERI,M/D,0,0,0
Percy Prado Ruiz,NTE,FRAN,M,0,0,0
Felipe Pires,HOF,BUND,F/M,0,0,0
Sam Schreck,LEV,BUND,M,0,0,0
Jean-Manuel Mbom,BRE,BUND,M,0,0,0
Romario Rosch,AUG,BUND,M,0,0,0
Mohamed Bahlouli,SMP,SERI,F/M,0,0,0
Luca de la Torre,FUL,EPL,M,0,0,0
Steven Sessegnon,FUL,EPL,M,0,0,0
Lazar Nikolic,SPL,SERI,F/M,0,0,0
Christian Koffi,FIO,SERI,M,0,0,0
Emanuel Besea,FRO,SERI,M,0,0,0
Uros Racic,VAL,LIGA,M,0,0,0
Emanuele Torrasi,MIL,SERI,M,0,0,0
Andrea Colpani,ATA,SERI,M,0,0,0
Michel Ndary Adopo,TOR,SERI,M,0,0,0
David Kopacz,SGT,BUND,F/M,0,0,0
Sergio Gomez,DOR,BUND,F/M,0,0,0
Rafik Guitane,REN,FRAN,M,0,0,0
Jayson Molumby,BHA,EPL,M/D,0,0,0
Kyle Taylor,BOU,EPL,M,0,0,0
Maurice Malone,AUG,BUND,F/M,0,0,0
Ognjen Stijepovic,SMP,SERI,M,0,0,0
Ethan Ampadu,CHE,EPL,M,0,0,0
Andrea Marcucci,ROM,SERI,M,0,0,0
Alessio Riccardi,ROM,SERI,M,0,0,0
Jan Repas,CAE,FRAN,M,0,0,0
Mamadou Coulibaly,UDN,SERI,M,0,0,0
Reda Rabei,AMN,FRAN,M,0,0,0
Alen Halilovic,MIL,SERI,F/M,0,0,0
Antonio Calderon,ALA,LIGA,M,0,0,0
Riccardo Montolivo,MIL,SERI,M,0,0,0
Dusan Basta,LAZ,SERI,M,0,0,0
Christopher Martins-Pereira,LYO,FRAN,M,0,0,0
Luismi,REV,LIGA,M,0,0,0
Mattia Vitale,SPL,SERI,M,0,0,0
Lorenzo Lollo,EMP,SERI,M,0,0,0
Emanuel Gaspar Iniguez,UDN,SERI,M,0,0,0
Marc Pugh,BOU,EPL,M,0,0,0
Andrea Bertolacci,MIL,SERI,M,0,0,0
Danny Drinkwater,CHE,EPL,M,0,0,0
Jairo Riedewald,CRY,EPL,M/D,0,0,0
